segment,timestamp,longitude,latitude,altitude,horizontal accuracy,vertical accuracy,speed,speed accuracy,course,course accuracy
3,2026-07-25T06:30:59.999494Z,75.37791676859834,12.245681780575087,78.51711923535913,4.748651711667268,5.913977213650035,5.306991370961211,2.1682413555361117,106.63469853560358,30.661517228782376
3,2026-07-25T06:31:00.999488Z,75.37796483317669,12.245668514645052,78.63077613059431,4.748651632166582,5.902762258663916,5.240803940990574,2.1766890579090235,106.66097788742621,31.75611090396711
3,2026-07-25T06:31:01.999481Z,75.37801123438916,12.245654548073961,79.15523948147893,4.7486516111093415,5.886829593526904,5.211292770087512,2.1784499755944737,107.30392895603394,31.094651975716022
3,2026-07-25T06:31:02.999475Z,75.3780570590021,12.245639560464308,79.11331917904317,4.748651587904489,5.891830104654444,5.19263202330349,2.1829754854008225,107.92516116845013,32.13916587218524
3,2026-07-25T06:31:03.999469Z,75.37810315117834,12.245624940085172,79.17510401364416,4.748651589553366,5.898707545858008,5.180555657141382,2.1841467383747064,108.3568000121833,32.63686188055866
3,2026-07-25T06:31:04.999463Z,75.37814736878771,12.245607729990457,79.13491538725793,4.748651610532241,5.86962688641837,5.101768086869805,2.2022245251144943,109.56079334999843,34.01681888815608
3,2026-07-25T06:31:05.999457Z,75.37818904489964,12.245592289910702,78.9568671407178,7.494027355761109,5.824670509686473,4.9401352393171365,2.2142150482956557,110.10433261612951,35.95910265611401
3,2026-07-25T06:31:06.999451Z,75.37822937066285,12.245573524152947,79.14977708179504,7.488348962249911,5.753404158477264,4.8982935845054065,2.234989743271201,112.14849795074406,36.54479869893522
3,2026-07-25T06:31:07.999444Z,75.37827011424096,12.245556459618456,79.1946564912796,4.7486516499492275,5.7235778143899525,4.954468446907788,2.2167330689388556,112.97517537926166,35.94323645837245
3,2026-07-25T06:31:08.999438Z,75.37831958950652,12.245538239449832,79.72189771197736,4.748651580202276,5.8246386863195285,5.321112875490482,2.1770070765195135,113.06417096710638,32.5079366452049
